Date,005930.KS,051910.KS,005380.KS,035420.KS,017670.KS,207940.KS,068270.KS,035720.KS,006400.KS,051900.KS
2009-08-19,14760.0,169000.0,95600.0,41797.1015625,176000.0,,14926.7001953125,44600.0,127000.0,219000.0
2009-08-20,14800.0,173000.0,99900.0,40326.19921875,176500.0,,15244.2998046875,43300.0,131500.0,219500.0
2009-08-21,15140.0,180000.0,103000.0,40694.0,174000.0,,15607.2998046875,44850.0,136500.0,218500.0
2009-08-24,15660.0,186000.0,107500.0,40939.1015625,174000.0,,15561.900390625,44900.0,146000.0,215000.0
2009-08-25,15500.0,185000.0,106500.0,41797.1015625,173000.0,,15062.7998046875,44500.0,146500.0,219000.0
2009-08-26,15540.0,181000.0,103500.0,42164.80078125,174500.0,,15879.5,43900.0,138500.0,218000.0
2009-08-27,15340.0,179000.0,101500.0,42900.19921875,175000.0,,15698.0,44250.0,139500.0,218000.0
2009-08-28,15280.0,190500.0,104000.0,42655.1015625,175000.0,,15879.5,44100.0,146000.0,218500.0
2009-08-31,15420.0,188500.0,106000.0,41674.5,175000.0,,15289.7001953125,44700.0,148000.0,216500.0
2009-09-01,15980.0,194500.0,114000.0,41552.0,174500.0,,15198.900390625,47300.0,156000.0,217500.0
2009-09-02,15680.0,197500.0,115000.0,40448.80078125,175000.0,,14972.099609375,47000.0,158500.0,217500.0
2009-09-03,15500.0,192500.0,108000.0,40694.0,176000.0,,14926.7001953125,48200.0,148000.0,224000.0
2009-09-04,15340.0,190000.0,107500.0,40448.80078125,173500.0,,14881.2998046875,48800.0,150000.0,231500.0
2009-09-07,15460.0,206000.0,112500.0,39713.3984375,168500.0,,14699.900390625,48250.0,157500.0,225000.0
2009-09-08,15620.0,210000.0,112500.0,39590.80078125,166000.0,,15062.7998046875,47400.0,165500.0,232000.0
2009-09-09,15620.0,212000.0,106000.0,40571.3984375,168000.0,,14881.2998046875,47300.0,165000.0,237500.0
2009-09-10,15820.0,214000.0,106000.0,41306.80078125,171000.0,,14836.0,48350.0,161500.0,247500.0
