Date,KOSPI2 INDEX,005930 KS EQUITY,MXWO INDEX,CCMP INDEX,SPX INDEX,VIX INDEX,NDX INDEX,SX5E INDEX,NKY INDEX,DAX INDEX,HSI INDEX,SXXP INDEX,UKX INDEX,TPX INDEX,SHCOMP INDEX,MXEF INDEX,MXWD INDEX,SOX INDEX,DXY INDEX,FEDL01 INDEX,KOSDAQ INDEX,XAU BGN CURNCY,USDKRW BGN Curncy,EHGDKRY Index,USDCNY BGN Curncy,USDEUR Curncy,GJGB10 INDEX,CAD BGN CURNCY,GT10 GOVT,GBPUSD CURNCY,USDJPY CURNCY,BRL CURNCY,CL1 COMDTY,SMI INDEX
2004.11.30,113.4,6845,1127.34,2096.81,1173.82,13.24,1571.5,2876.39,10899.25,4126,14060.05,246.51,4703.2,1098.79,1340.771,517.95,274.17,423.87,81.82,1.93,373.43,450.95,1048.5,3.15,8.2765,0.7532,1.454,1.1874,4.351,1.9095,103.07,2.72,49.13,5444.2
2004.12.31,115.25,7180,1169.34,2175.44,1211.92,13.29,1621.12,2951.01,11488.76,4256.08,14230.14,251.11,4814.3,1149.63,1266.496,542.17,284.52,433.31,80.85,2.16,380.33,438.45,1035.1,5.24,8.2765,0.7378,1.441,1.2019,4.22,1.9182,102.63,2.656,43.45,5693.2
2005.1.31,121.06,7889,1142.35,2062.41,1181.27,12.82,1519.63,2984.59,11387.59,4254.85,13721.69,256.85,4852.3,1146.14,1191.823,542.28,278.3,403.96,83.57,2.28,472.93,422.6,1026,5.24,8.2764,0.767,1.33,1.2398,4.13,1.8829,103.7,2.6088,48.2,5771.4
2005.2.28,130.85,8399,1176.7,2051.72,1203.6,12.08,1511.02,3058.32,11740.6,4350.49,14195.35,264.29,4968.5,1177.41,1306.003,588.68,287.49,437.23,82.51,2.5,498.37,435.65,1004.03,5.24,8.2765,0.7561,1.475,1.2339,4.379,1.9211,104.63,2.5875,51.75,5931.3
2005.3.31,124.78,8001,1151.18,1999.23,1180.59,14.02,1482.53,3055.73,11668.95,4348.77,13516.88,262.19,4894.4,1182.18,1181.236,548.69,280.51,416.99,84.06,2.63,455.03,428.35,1015.45,5.24,8.2764,0.7713,1.33,1.2104,4.483,1.8905,107.15,2.679,55.4,5929.7
2005.4.30,117.58,7204,1123.64,1921.65,1156.85,15.31,1420.79,2930.1,11008.9,4184.84,13908.97,256.06,4801.7,1129.93,1159.146,531.99,273.7,385.65,84.43,2.79,424.4,434.4,997.1,5.24,8.2764,0.7769,1.245,1.2583,4.2,1.9088,104.75,2.528,49.72,5870.79
2005.5.31,124.84,7793,1140.68,2068.22,1191.5,13.29,1542.63,3076.7,11276.59,4460.63,13867.07,267.29,4964,1144.33,1060.738,548.15,278.07,428.95,87.76,3,471.48,417.25,1008,5.24,8.2767,0.8127,1.249,1.2549,3.983,1.8171,108.57,2.4076,51.97,6127.2
2005.6.30,129.43,7881,1148.81,2056.96,1191.33,12.04,1493.52,3181.54,11584.01,4586.28,14201.06,275.92,5113.2,1177.2,1080.938,565.17,280.44,419.07,89.09,3.04,503.21,435.5,1034.5,5.24,8.2764,0.826,1.174,1.2251,3.915,1.7915,110.92,2.3325,56.5,6253.08
2005.7.31,143.32,9014,1188.17,2184.83,1234.18,11.57,1605.14,3326.51,11899.6,4886.5,14880.98,285.03,5282.3,1204.98,1083.033,602.56,290.57,474.44,89.35,3.26,546.68,429.8,1026.95,5.24,8.1056,0.825,1.313,1.2233,4.278,1.7579,112.5,2.3787,60.57,6600.88
2005.8.31,140.09,8679,1194.81,2152.09,1220.33,12.6,1581.71,3263.78,12413.6,4829.69,14903.55,284.82,5296.9,1271.29,1162.798,606.23,292.2,473.75,87.58,3.5,503.95,435.2,1034.5,5.24,8.0998,0.8099,1.349,1.1878,4.016,1.8041,110.61,2.357,68.94,6517.21
